model,trouble_id,trouble_label,lcd_error_message,meaning,what_to_do
AFICIO 3351,30,Cover Open,Close Front/Right Cover,Cover interlock is open.,Close cover; inspect actuator/interlock switch.
AFICIO 3351,58,No Power,SC401 Transfer Bias Error,Transfer roller/bias power supply abnormality.,"Check transfer unit contacts, HVPS and harness."
AFICIO 3351,60,No Toner Error,Replace Waste Toner Bottle,Waste toner bottle is full or not detected.,Replace/reseat waste toner bottle and clean sensor area.
AFICIO 3351,62,Paper Feed Problem,SC500 Paper Feed Motor Error,Paper feed motor or tray lift/feed mechanism error.,"Inspect tray feed motor, lift motor, clutch and sensors."
AFICIO 3351,102,Others,Add Toner,Toner bottle is empty or not supplying toner.,Replace/reseat toner bottle; check toner supply motor if repeated.
AFICIO 3351,102,Others,Paper Misfeed A/B/C/D,Misfeed in indicated tray/duplex/fuser/exit area.,Open indicated section and remove paper scraps; check rollers and sensors.
AFICIO 3351,102,Others,SC322 Laser Sync Error,Laser synchronization signal error.,"Inspect laser unit, polygon motor, harness, and controller board."
AFICIO 3351,102,Others,SC326 / SC329 LD Error,Laser diode or laser writing abnormality.,Check laser unit and laser control board; replace defective unit.
AFICIO 3351,102,Others,SC441 Main Motor Error,Main motor lock or drive abnormality.,"Inspect motor load, gears, motor harness and main motor."
AFICIO 3351,102,Others,SC541 Fusing Thermistor Open,Fuser thermistor open/out of position or very low temperature reading.,Inspect fuser thermistor/harness; replace fuser/thermistor if needed before reset.
AFICIO 3351,102,Others,SC542 Fusing Warm-up Error,Fuser failed to reach target temperature.,"Check fuser lamp/heater, thermistor, thermostat, PSU and fuser connector."
AFICIO 3351,102,Others,SC543 / SC544 Fusing Overheat,Fuser temperature abnormal/high or unstable.,Inspect thermistor contamination/position and fuser control; clear only after repair.
AFICIO 3351,102,Others,SC545 / SC546 Fusing Lamp/Thermistor Error,Fuser temperature control failure.,"Check fuser assembly, thermistor, thermostat, heater and PSU."
AFICIO 3351,177,Unable to Print,Service Call SCxxx,Controller/engine service fault.,Record SC code; follow SC code service procedure; do not repeatedly reset fuser SC without inspection.
AFICIO 3351,216,Scanner Problem,SC101 / SC120 Scanner Error,Exposure lamp/scanner home position or scanner drive error.,"Check scanner lamp/CIS, home position sensor, scanner motor and harness."
AFICIO 3351,242,Memory Full,SC672 Controller Startup Error,Controller board did not start/communicate correctly.,Power-cycle; reseat memory/HDD/SD options; inspect controller board.
BH363,30,Cover Open,Close Front/Right Cover,Cover interlock is open.,Close cover; inspect actuator/interlock switch.
BH363,58,No Power,C3451 Fuser Warm-up Error,Fusing unit failed to warm up.,"Inspect fuser heater, thermistor, thermostat and power relay."
BH363,60,No Toner Error,Replace Waste Toner Bottle,Waste toner bottle is full or not detected.,Replace/reseat waste toner bottle and clean sensor area.
BH363,62,Paper Feed Problem,C0200 / C0201 Tray Lift Error,Paper tray lift motor/sensor abnormality.,"Check tray lift mechanism, motor and sensor."
BH363,102,Others,Add Toner,Toner bottle is empty or not supplying toner.,Replace/reseat toner bottle; check toner supply motor if repeated.
BH363,102,Others,C2557 / C2558 ATDC/Toner Density Error,Developer toner density abnormality.,"Check toner supply, developer unit, ATDC sensor and perform proper adjustment."
BH363,102,Others,C3721 / C3722 Fuser Overheat,Fusing unit overheated.,Inspect thermistor/thermostat and fusing control; reset after repair.
BH363,102,Others,Paper Misfeed A/B/C/D,Misfeed in indicated tray/duplex/fuser/exit area.,Open indicated section and remove paper scraps; check rollers and sensors.
BH363,362,Network,C-FA14 Controller/Board Error,MFP controller/firmware board communication fault.,"Power-cycle, reseat boards/options, update firmware or replace board."
C2051,30,Cover Open,Close Front/Right Cover,Cover interlock is open.,Close cover; inspect actuator/interlock switch.
C2051,58,No Power,C3451 Fuser Warm-up Error,Fusing unit failed to warm up.,"Inspect fuser heater, thermistor, thermostat and power relay."
C2051,60,No Toner Error,Replace Waste Toner Bottle,Waste toner bottle is full or not detected.,Replace/reseat waste toner bottle and clean sensor area.
C2051,62,Paper Feed Problem,C0200 / C0201 Tray Lift Error,Paper tray lift motor/sensor abnormality.,"Check tray lift mechanism, motor and sensor."
C2051,102,Others,Add Toner,Toner bottle is empty or not supplying toner.,Replace/reseat toner bottle; check toner supply motor if repeated.
C2051,102,Others,C2557 / C2558 ATDC/Toner Density Error,Developer toner density abnormality.,"Check toner supply, developer unit, ATDC sensor and perform proper adjustment."
C2051,102,Others,C3721 / C3722 Fuser Overheat,Fusing unit overheated.,Inspect thermistor/thermostat and fusing control; reset after repair.
C2051,102,Others,Paper Misfeed A/B/C/D,Misfeed in indicated tray/duplex/fuser/exit area.,Open indicated section and remove paper scraps; check rollers and sensors.
C2051,362,Network,C-FA14 Controller/Board Error,MFP controller/firmware board communication fault.,"Power-cycle, reseat boards/options, update firmware or replace board."
DCP - L2640DW,30,Cover Open,Cover is Open,"Front cover, back cover, or ADF cover is not fully closed.",Close all covers firmly; check cover actuator/sensor if message remains.
DCP - L2640DW,30,Cover Open,Print Unable 30,Paper eject or rear sensor timing abnormality.,"Clear paper path; inspect eject sensor actuator, rear cover, and fuser exit rollers."
DCP - L2640DW,37,Drum Error,Drum !,Corona wire dirty or drum unit not seated correctly.,"Slide corona-wire cleaner several times, return to home position, reinstall drum/toner."
DCP - L2640DW,37,Drum Error,Print Unable 3B,High voltage/power supply or engine control fault.,"Check HVPS contacts, drum/toner contacts, main PCB/HVPS connections."
DCP - L2640DW,37,Drum Error,Replace Drum / Drum End Soon / Drum Stop,Drum unit is near end or stopped.,"Replace drum unit, then reset the drum counter according to model menu."
DCP - L2640DW,49,Jamming,Jam Tray / Jam Inside / Jam Rear / Jam 2-sided,Paper jam in displayed section.,Remove paper tray/drum/duplex tray/back cover as indicated; remove all scraps; check rollers/sensors.
DCP - L2640DW,58,No Power,Print Unable 0B,Fuser temperature abnormality or fuser related service fault.,Power-cycle after cooling; inspect fuser thermistor/heater and reset/replace fuser if needed.
DCP - L2640DW,58,No Power,Print Unable XX,Machine has a mechanical/service fault.,"Power-cycle once; if repeated, record XX and follow service manual/service inspection."
DCP - L2640DW,60,No Toner Error,No Toner,Toner cartridge/drum assembly is not detected.,"Remove drum+toner, reseat toner in drum, clean contacts, reinstall."
DCP - L2640DW,62,Paper Feed Problem,No Paper / Manual Feed,Paper not loaded or machine expects manual feed.,"Load correct paper, adjust guides, verify driver paper source/size."
DCP - L2640DW,62,Paper Feed Problem,Print Unable 20,Paper feed/registration sensor timing abnormality.,"Check feed rollers, registration sensor actuator, paper path, and sensor harness."
DCP - L2640DW,62,Paper Feed Problem,Print Unable 32,Paper feed motor/drive or paper path abnormality.,"Inspect gears, feed motor harness, motor load, and paper tray lift/feed assembly."
DCP - L2640DW,62,Paper Feed Problem,Size Mismatch,Driver/requested paper size differs from tray setting.,"Match tray paper size, driver setting, and application page size."
DCP - L2640DW,177,Unable to Print,Print Unable 02,Main motor synchronization signal cannot be detected.,"Check main motor harness/connector, gear load, main motor, and main PCB."
DCP - L2640DW,177,Unable to Print,Print Unable 03,Polygon motor/laser unit lock signal cannot be detected.,Reconnect laser flat cable; inspect/replace laser unit or main PCB.
DCP - L2640DW,177,Unable to Print,Print Unable 04,Laser polygon motor synchronized signal fault.,"Check laser flat cable, laser unit, and main PCB."
DCP - L2640DW,177,Unable to Print,Print Unable 0A,Fuser warm-up/temperature control problem.,"Check fuser thermistor, halogen/heater, fuser harness, LVPS/HVPS and main PCB."
DCP - L2640DW,177,Unable to Print,Print Unable 50,Fuser unit/fusing temperature fault.,"Inspect fuser unit, thermistor, heater lamp, LVPS, and fuser connector."
DCP - L2640DW,177,Unable to Print,Print Unable 6A,Paper/document feed or sensor related engine fault.,"Inspect paper path sensors, actuator flags, harness, and feed assembly."
DCP - L2640DW,177,Unable to Print,Print Unable 7A,Duplex/2-sided unit or paper transport fault.,"Check duplex tray, rear path, duplex sensor flags, rollers, and connectors."
DCP - L2640DW,177,Unable to Print,Print Unable E1,Main PCB/firmware or engine control error.,Update firmware if applicable; inspect/replace main PCB after checking connections.
DCP - L2640DW,216,Scanner Problem,Print Unable 71,Polygon motor/laser scanner error or laser drive fault.,"Check laser scanner unit, laser flat cable, and main PCB."
DCP - L2640DW,216,Scanner Problem,Print Unable 72,Laser beam detection/synchronization error.,"Inspect laser unit, scanner mirror contamination, laser cable, and main PCB."
DCP - L2640DW,216,Scanner Problem,Scan Unable XX,Scanner/ADF/flatbed mechanical or sensor fault.,"Power-cycle once; inspect scanner lock, CIS cable, ADF path, then service if repeated."
DCP - L2640DW,242,Memory Full,Print Data Full / Out of Memory,Print job exceeds available memory.,"Cancel job, reduce resolution, print fewer pages, or simplify PDF/image file."
