module,collection,docId,type,assignedTo,customerBranch,scheduleDate,amount,invoiceNo,ref,status,matchedBy,firestoreCreateTime,firestoreUpdateTime,remarks
Billing,tbl_billing,1779088890159,Printed Billing,,China Bank Savings Inc. - China Bank Savings Inc- APD Lending Legazpi,2026-05-19,1453.76,130474,1779088890159,,field:updated_at|metadata-create-after-8am|metadata-update-after-8am,2026-05-18T07:21:30.597Z,2026-05-18T07:25:31.823Z,
Billing,tbl_billing,1779084515032,Printed Billing,,China Bank Savings Inc. - China Bank Savings Inc- Credit Appraisal,2026-05-19,878.64,130471,1779084515032,,field:updated_at|metadata-create-after-8am|metadata-update-after-8am,2026-05-18T06:08:35.571Z,2026-05-18T07:21:31.731Z,
Billing Schedule,tbl_schedule,billing_task_billing_invoice_130471_2026-04_73,Printed Billing,Carlos Edaño,China Bank Savings Inc. - China Bank Savings Inc- Credit Appraisal,2026-05-19 08:00:00,,,47120260473,open,field:created_at|metadata-create-after-8am|metadata-update-after-8am|field:updated_at|field:task_datetime,2026-05-18T06:48:21.079Z,2026-05-18T07:21:31.245Z,Deliver Invoice for China Bank Savings Inc- Credit Appraisal (CNRTD2P021).
Collections Payment Info,tbl_paymentinfo,116786,,,,2025-12-09 00:00:00,3300,126183,116786,,field:updated_at|metadata-update-after-8am|field:timestamp|field:tax_date_paid,2025-12-31T09:37:06.771Z,2026-05-18T07:20:44.984Z,Without 2307 but paid
Collection Schedule,tbl_schedule,999202605849,Confirmed Collection,Carlos Edaño,Brighthouse industry - Brighthouse Industry Group Inc.,2026-05-18 08:00:00,,,999202605849,1,field:task_datetime|metadata-update-after-8am,2026-05-15T07:29:06.771Z,2026-05-18T07:17:24.846Z,"Collection for invoice 130925, Return call: yes"
Field Visit Events,tbl_field_visit_events,999202605882_repin_1779088190182,,,Asia Agricom Trading Inc. - Asia Agricom Trading Inc. Importation Department,,,,999202605882,,field:occurred_at|metadata-create-after-8am|metadata-update-after-8am,2026-05-18T07:10:00.101Z,2026-05-18T07:10:00.101Z,
Collection Schedule,tbl_schedule,999202605882,Confirmed Collection,Jonathan De Guzman,Asia Agricom Trading Inc. - Asia Agricom Trading Inc. Importation Department,2026-05-18 13:00:00,,,999202605882,1,field:task_datetime|metadata-create-after-8am|metadata-update-after-8am|field:date_finished,2026-05-18T03:24:58.544Z,2026-05-18T07:09:58.879Z,"Collection for invoice 130774, Return call: yes"
Field Visit Events,tbl_field_visit_events,999202605882_repin_1779088182531,,,Asia Agricom Trading Inc. - Asia Agricom Trading Inc. Importation Department,,,,999202605882,,field:occurred_at|metadata-create-after-8am|metadata-update-after-8am,2026-05-18T07:09:45.382Z,2026-05-18T07:09:45.382Z,
Billing,tbl_billing,1779086609578,Printed Billing,,China Bank Savings Inc. - China Bank Savings Inc- Credit Appraisal,2026-05-18T07:01:41.782Z,840,129589,1779086609578,,field:updated_at|metadata-create-after-8am|metadata-update-after-8am,2026-05-18T06:43:30.070Z,2026-05-18T07:01:42.021Z,
Releasing DR,tbl_finaldr,88983,,MARGA MARGA,,undefined 00:00:00,,,999202605897,,field:tmstmp|metadata-create-after-8am|metadata-update-after-8am,2026-05-18T07:00:43.527Z,2026-05-18T07:00:43.527Z,3 pc 2540; 3 pc 2540; 3 pc 2540
Billing,tbl_billing,1779081919380,Printed Billing,,China Bank Savings Inc. - China Bank Savings Inc- Credit Appraisal,2026-05-18T06:59:31.794Z,1961.68,128855,1779081919380,,field:updated_at|metadata-create-after-8am|metadata-update-after-8am,2026-05-18T05:25:19.827Z,2026-05-18T06:59:32.060Z,
Billing Schedule,tbl_schedule,billing_task_billing_invoice_128855_2026-02_73,Printed Billing,Carlos Edaño,China Bank Savings Inc. - China Bank Savings Inc- Credit Appraisal,2026-05-19 08:00:00,,,885520260273,open,field:created_at|metadata-create-after-8am|metadata-update-after-8am|field:updated_at|field:task_datetime,2026-05-18T05:43:41.914Z,2026-05-18T06:58:41.606Z,Deliver Invoice for China Bank Savings Inc- Credit Appraisal (CNRTD2P021).
Releasing DR,tbl_finaldr,88982,,MARGA MARGA,,undefined 00:00:00,,,999202605898,,field:tmstmp|metadata-create-after-8am|metadata-update-after-8am,2026-05-18T06:57:58.286Z,2026-05-18T06:57:58.286Z,3 pc 2260; 3 pc 2260; 3 pc 2260
Delivery/Purchasing Schedule,tbl_schedule,999202605899,Deliver Ink,MARGA MARGA,Aaron Eagle Security & Investigation Agency Inc  - Aaron Eagle Security & Investigation Agency Inc ,2026-05-19 08:00:00,,,999202605899,1,field:task_datetime|metadata-create-after-8am|metadata-update-after-8am,2026-05-18T06:55:33.745Z,2026-05-18T06:55:33.745Z,3 2540
