id,legacy_id,status_id,source_status_id,updated_at
344,1309,2,2,2026-05-25 13:54:39.385444+08
777,1707,7,7,2026-05-25 13:50:02.596465+08
803,1730,2,2,2026-05-25 13:50:02.601161+08
876,1797,2,2,2026-05-25 13:50:02.614499+08
1064,1967,2,2,2026-05-25 13:54:39.385444+08
1149,2043,7,7,2026-07-13 16:05:51.006936+08
1349,2225,2,2,2026-06-24 09:20:42.211265+08
1439,231,2,2,2026-07-07 16:24:28.192986+08
1542,2403,2,2,2026-05-25 13:54:39.385444+08
1731,2575,2,2,2026-05-25 13:54:39.385444+08
1764,2605,2,2,2026-05-25 13:54:39.385444+08
1791,263,2,2,2026-05-25 13:50:02.780257+08
1856,269,9,9,2026-05-25 13:50:02.791619+08
1972,2795,2,2,2026-05-25 13:54:39.385444+08
2066,2882,2,2,2026-05-25 13:54:39.385444+08
2099,2911,2,2,2026-06-02 16:58:13.980394+08
2128,2938,5,5,2026-07-06 15:29:02.780843+08
2432,3225,2,2,2026-05-25 13:54:39.385444+08
2476,3265,2,2,2026-05-25 13:54:39.385444+08
2546,3328,2,2,2026-06-19 17:18:59.729155+08
2580,3359,2,2,2026-05-25 13:54:39.385444+08
2600,3377,2,2,2026-05-25 13:54:39.385444+08
2606,3382,2,2,2026-05-25 13:54:39.385444+08
2627,3400,2,2,2026-05-25 13:54:39.385444+08
2638,3410,2,2,2026-05-25 13:54:39.385444+08
2647,3419,2,2,2026-05-25 13:54:39.385444+08
2658,3429,2,2,2026-07-08 14:57:18.022256+08
2666,3436,2,2,2026-05-25 13:54:39.385444+08
2677,3446,6,6,2026-05-25 13:54:39.385444+08
2681,345,2,2,2026-05-25 13:54:39.385444+08
2684,3452,2,2,2026-05-25 13:54:39.385444+08
2705,3471,2,2,2026-05-25 13:54:39.385444+08
2706,3472,2,2,2026-05-25 13:54:39.385444+08
2709,3475,2,2,2026-05-25 13:54:39.385444+08
2712,3478,2,2,2026-05-25 13:54:39.385444+08
2718,3483,2,2,2026-05-25 13:54:39.385444+08
2727,3491,2,2,2026-05-25 13:54:39.385444+08
2743,3505,2,2,2026-05-25 13:54:39.385444+08
2745,3507,2,2,2026-05-25 13:54:39.385444+08
2746,3508,2,2,2026-05-25 13:54:39.385444+08
2758,3519,2,2,2026-05-25 13:54:39.385444+08
2772,3531,2,2,2026-05-25 13:54:39.385444+08
2773,3532,2,2,2026-05-25 13:54:39.385444+08
2816,3571,2,2,2026-05-25 13:54:39.385444+08
2826,3580,2,2,2026-05-25 13:54:39.385444+08
2829,3583,2,2,2026-05-25 13:54:39.385444+08
2830,3584,2,2,2026-05-25 13:54:39.385444+08
2852,3603,2,2,2026-05-25 13:54:39.385444+08
2855,3606,2,2,2026-05-25 13:54:39.385444+08
2863,3613,2,2,2026-05-25 13:50:02.972364+08
2878,3627,2,2,2026-05-25 13:54:39.385444+08
2898,3645,2,2,2026-05-25 13:50:02.978177+08
2901,3648,2,2,2026-05-25 13:54:39.385444+08
2913,3659,2,2,2026-05-25 13:54:39.385444+08
2915,3660,2,2,2026-05-25 13:54:39.385444+08
2926,3670,2,2,2026-05-25 13:54:39.385444+08
2927,3671,2,2,2026-05-25 13:54:39.385444+08
2949,3691,2,2,2026-05-25 13:54:39.385444+08
2954,3696,2,2,2026-05-25 13:54:39.385444+08
3170,568,2,2,2026-05-25 13:54:39.385444+08
3182,579,2,2,2026-05-25 13:54:39.385444+08
3329,710,2,2,2026-05-25 13:54:39.385444+08
