model,model_aliases,family,trouble_id,trouble_label,lcd_error_message,meaning,what_to_do,service_level_code,source_reference,source_file
AFICIO 3351,AFICIO 3351 | AFICIO-3351 | AFICIO3351,Ricoh/Aficio MP,30,Cover Open,Close Front/Right Cover,Cover interlock is open.,Close cover; inspect actuator/interlock switch.,,Ricoh official SC Code List and Ricoh service-code references. | https://support.ricoh.com/bb_v1oi/pub_e/oi_view/0001068/0001068837/view/trouble/int/0013.htm ; https://printcopy.info/?brand=Ricoh&code=541&l=en&mod=erc&model=Aficio+MP2851,AFICIO_3351.csv
AFICIO 3351,AFICIO 3351 | AFICIO-3351 | AFICIO3351,Ricoh/Aficio MP,58,No Power,SC401 Transfer Bias Error,Transfer roller/bias power supply abnormality.,"Check transfer unit contacts, HVPS and harness.",SC401,Ricoh official SC Code List and Ricoh service-code references. | https://support.ricoh.com/bb_v1oi/pub_e/oi_view/0001068/0001068837/view/trouble/int/0013.htm ; https://printcopy.info/?brand=Ricoh&code=541&l=en&mod=erc&model=Aficio+MP2851,AFICIO_3351.csv
AFICIO 3351,AFICIO 3351 | AFICIO-3351 | AFICIO3351,Ricoh/Aficio MP,60,No Toner Error,Replace Waste Toner Bottle,Waste toner bottle is full or not detected.,Replace/reseat waste toner bottle and clean sensor area.,,Ricoh official SC Code List and Ricoh service-code references. | https://support.ricoh.com/bb_v1oi/pub_e/oi_view/0001068/0001068837/view/trouble/int/0013.htm ; https://printcopy.info/?brand=Ricoh&code=541&l=en&mod=erc&model=Aficio+MP2851,AFICIO_3351.csv
AFICIO 3351,AFICIO 3351 | AFICIO-3351 | AFICIO3351,Ricoh/Aficio MP,62,Paper Feed Problem,SC500 Paper Feed Motor Error,Paper feed motor or tray lift/feed mechanism error.,"Inspect tray feed motor, lift motor, clutch and sensors.",SC500,Ricoh official SC Code List and Ricoh service-code references. | https://support.ricoh.com/bb_v1oi/pub_e/oi_view/0001068/0001068837/view/trouble/int/0013.htm ; https://printcopy.info/?brand=Ricoh&code=541&l=en&mod=erc&model=Aficio+MP2851,AFICIO_3351.csv
AFICIO 3351,AFICIO 3351 | AFICIO-3351 | AFICIO3351,Ricoh/Aficio MP,102,Others,Add Toner,Toner bottle is empty or not supplying toner.,Replace/reseat toner bottle; check toner supply motor if repeated.,,Ricoh official SC Code List and Ricoh service-code references. | https://support.ricoh.com/bb_v1oi/pub_e/oi_view/0001068/0001068837/view/trouble/int/0013.htm ; https://printcopy.info/?brand=Ricoh&code=541&l=en&mod=erc&model=Aficio+MP2851,AFICIO_3351.csv
AFICIO 3351,AFICIO 3351 | AFICIO-3351 | AFICIO3351,Ricoh/Aficio MP,102,Others,Paper Misfeed A/B/C/D,Misfeed in indicated tray/duplex/fuser/exit area.,Open indicated section and remove paper scraps; check rollers and sensors.,,Ricoh official SC Code List and Ricoh service-code references. | https://support.ricoh.com/bb_v1oi/pub_e/oi_view/0001068/0001068837/view/trouble/int/0013.htm ; https://printcopy.info/?brand=Ricoh&code=541&l=en&mod=erc&model=Aficio+MP2851,AFICIO_3351.csv
AFICIO 3351,AFICIO 3351 | AFICIO-3351 | AFICIO3351,Ricoh/Aficio MP,102,Others,SC322 Laser Sync Error,Laser synchronization signal error.,"Inspect laser unit, polygon motor, harness, and controller board.",SC322,Ricoh official SC Code List and Ricoh service-code references. | https://support.ricoh.com/bb_v1oi/pub_e/oi_view/0001068/0001068837/view/trouble/int/0013.htm ; https://printcopy.info/?brand=Ricoh&code=541&l=en&mod=erc&model=Aficio+MP2851,AFICIO_3351.csv
AFICIO 3351,AFICIO 3351 | AFICIO-3351 | AFICIO3351,Ricoh/Aficio MP,102,Others,SC326 / SC329 LD Error,Laser diode or laser writing abnormality.,Check laser unit and laser control board; replace defective unit.,SC326/329,Ricoh official SC Code List and Ricoh service-code references. | https://support.ricoh.com/bb_v1oi/pub_e/oi_view/0001068/0001068837/view/trouble/int/0013.htm ; https://printcopy.info/?brand=Ricoh&code=541&l=en&mod=erc&model=Aficio+MP2851,AFICIO_3351.csv
AFICIO 3351,AFICIO 3351 | AFICIO-3351 | AFICIO3351,Ricoh/Aficio MP,102,Others,SC441 Main Motor Error,Main motor lock or drive abnormality.,"Inspect motor load, gears, motor harness and main motor.",SC441,Ricoh official SC Code List and Ricoh service-code references. | https://support.ricoh.com/bb_v1oi/pub_e/oi_view/0001068/0001068837/view/trouble/int/0013.htm ; https://printcopy.info/?brand=Ricoh&code=541&l=en&mod=erc&model=Aficio+MP2851,AFICIO_3351.csv
AFICIO 3351,AFICIO 3351 | AFICIO-3351 | AFICIO3351,Ricoh/Aficio MP,102,Others,SC541 Fusing Thermistor Open,Fuser thermistor open/out of position or very low temperature reading.,Inspect fuser thermistor/harness; replace fuser/thermistor if needed before reset.,SC541,Ricoh official SC Code List and Ricoh service-code references. | https://support.ricoh.com/bb_v1oi/pub_e/oi_view/0001068/0001068837/view/trouble/int/0013.htm ; https://printcopy.info/?brand=Ricoh&code=541&l=en&mod=erc&model=Aficio+MP2851,AFICIO_3351.csv
AFICIO 3351,AFICIO 3351 | AFICIO-3351 | AFICIO3351,Ricoh/Aficio MP,102,Others,SC542 Fusing Warm-up Error,Fuser failed to reach target temperature.,"Check fuser lamp/heater, thermistor, thermostat, PSU and fuser connector.",SC542,Ricoh official SC Code List and Ricoh service-code references. | https://support.ricoh.com/bb_v1oi/pub_e/oi_view/0001068/0001068837/view/trouble/int/0013.htm ; https://printcopy.info/?brand=Ricoh&code=541&l=en&mod=erc&model=Aficio+MP2851,AFICIO_3351.csv
AFICIO 3351,AFICIO 3351 | AFICIO-3351 | AFICIO3351,Ricoh/Aficio MP,102,Others,SC543 / SC544 Fusing Overheat,Fuser temperature abnormal/high or unstable.,Inspect thermistor contamination/position and fuser control; clear only after repair.,SC543/544,Ricoh official SC Code List and Ricoh service-code references. | https://support.ricoh.com/bb_v1oi/pub_e/oi_view/0001068/0001068837/view/trouble/int/0013.htm ; https://printcopy.info/?brand=Ricoh&code=541&l=en&mod=erc&model=Aficio+MP2851,AFICIO_3351.csv
AFICIO 3351,AFICIO 3351 | AFICIO-3351 | AFICIO3351,Ricoh/Aficio MP,102,Others,SC545 / SC546 Fusing Lamp/Thermistor Error,Fuser temperature control failure.,"Check fuser assembly, thermistor, thermostat, heater and PSU.",SC545/546,Ricoh official SC Code List and Ricoh service-code references. | https://support.ricoh.com/bb_v1oi/pub_e/oi_view/0001068/0001068837/view/trouble/int/0013.htm ; https://printcopy.info/?brand=Ricoh&code=541&l=en&mod=erc&model=Aficio+MP2851,AFICIO_3351.csv
